,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,code_additions_deletions_4_weeks,commit_count_4_weeks,last_4_weeks_commit_activity_series
0,26367,45219,3568,5701,5148,7891,687,"{'additions': 4962, 'deletions': -1220}",279,"[6, 6, 11, 3, 0, 6, 2, 2, 0, 5, 5, 3, 1, 0, 0, 1, 3, 2, 0, 1, 3, 0, 0, 6, 0, 0, 0, 0]"
1,9849,26793,1999,5025,4871,3232,469,"{'additions': 8607, 'deletions': -11930}",58,"[0, 0, 4, 1, 0, 0, 0, 0, 2, 5, 6, 5, 2, 0, 0, 5, 4, 4, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]"
2,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
3,1130,3508,475,898,640,372,28,"{'additions': 151, 'deletions': -5}",25,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
4,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
5,593,922,140,309,241,13,3,"{'additions': 10232, 'deletions': -5047}",237,"[0, 1, 2, 7, 12, 8, 0, 0, 4, 9, 6, 8, 4, 1, 0, 3, 8, 11, 14, 5, 0, 2, 5, 2, 9, 2, 0, 0]"
6,318,1237,182,133,118,2719,53,"{'additions': 7463, 'deletions': -14820}",288,"[0, 3, 17, 9, 12, 9, 0, 0, 0, 5, 5, 2, 2, 1, 0, 2, 5, 10, 8, 7, 0, 0, 1, 0, 0, 0, 0, 0]"
7,1870,2983,440,110,110,47,24,"{'additions': 152, 'deletions': -106}",23,"[0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,0,0,0,0,0,0,0,"{'additions': None, 'deletions': None}",0,[]
9,2291,3491,533,390,355,101,42,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,213,409,96,144,104,0,0,"{'additions': 4, 'deletions': -3}",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,582,3426,408,850,665,1706,80,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,92,143,19,26,24,250,16,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,3517,10939,1121,4827,4574,3794,222,"{'additions': 0, 'deletions': 0}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
